AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,phone_1,language_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,phone_2,sex_2,speaker_2,word_2,distance
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,254.44351,254.83,Mrajesh1_73,ARA,73,M,ɾ,ENG,t_0578407,OTH,stimuli_raw/wav/FNiralee1.wav,10,FNiralee1_10,HIN,104.46157,103.95576,ɡʱ,F,FNiralee,AGHA,0.3123111204700778
OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,591.67062,592.1441599999997,FNiralee1_75,ARA,75,F,ɾ,ENG,t_0932976,OTH,stimuli_raw/wav/Mrajesh1.wav,12,Mrajesh1_12,HIN,74.05,73.69,ɡʱ,M,Mrajesh,AGHA,0.3087692951011144
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,258.25719,258.6,Mrajesh1_75,ARA,75,M,ɾ,ENG,t_0579153,OTH,stimuli_raw/wav/FNiralee2.wav,27,FNiralee2_27,HIN,98.82,98.26682,d͡ʒʱ,F,FNiralee,ADXHA,0.34049863240769757
OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,302.62,303.08,FNiralee2_73,ARA,73,F,ɾ,ENG,t_0449878,OTH,stimuli_raw/wav/Mrajesh1.wav,26,Mrajesh1_26,HIN,125.18796,124.77548999999999,d͡ʒʱ,M,Mrajesh,ADXHA,0.3316273471288711
TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,589.6186,590.04704,FNiralee1_74,ARA,74,F,ɾ,ENG,t_0931445,OTH,stimuli_raw/wav/Mrajesh2.wav,31,Mrajesh2_31,HIN,89.57,89.14985,ʈʰ,M,Mrajesh,ATRHA,0.3411298328897647
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,198.38288,198.75,Mrajesh2_73,ARA,73,M,ɾ,ENG,t_1063294,OTH,stimuli_raw/wav/FNiralee2.wav,32,FNiralee2_32,HIN,117.9,117.36769,ʈʰ,F,FNiralee,ATRHA,0.3318271195509403
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,198.38288,198.75,Mrajesh2_73,ARA,73,M,ɾ,ENG,t_1064734,OTH,stimuli_raw/wav/FNiralee2.wav,36,FNiralee2_36,HIN,129.07547,128.58536999999998,ɖ,F,FNiralee,ADRA,0.29414726282214454
OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,307.58,308.06,FNiralee2_75,ARA,75,F,ɾ,ENG,t_0451032,OTH,stimuli_raw/wav/Mrajesh1.wav,34,Mrajesh1_34,HIN,145.82,145.4397,ɖ,M,Mrajesh,ADRA,0.2939393814544149
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,198.38288,198.75,Mrajesh2_73,ARA,73,M,ɾ,ENG,t_0577129,OTH,stimuli_raw/wav/FNiralee1.wav,37,FNiralee1_37,HIN,296.32082,295.78499,ɖʱ,F,FNiralee,ADRHA,0.31197196611223466
OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,307.58,308.06,FNiralee2_75,ARA,75,F,ɾ,ENG,t_0932103,OTH,stimuli_raw/wav/Mrajesh1.wav,39,Mrajesh1_39,HIN,156.52,156.13224,ɖʱ,M,Mrajesh,ADRHA,0.3193926874908389
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,254.44351,254.83,Mrajesh1_73,ARA,73,M,ɾ,ENG,t_1065448,OTH,stimuli_raw/wav/FNiralee1.wav,49,FNiralee1_49,HIN,397.74568999999997,397.21643,dʱ,F,FNiralee,ADHA,0.3239048807122807
OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,305.1463,305.5354200000001,FNiralee2_74,ARA,74,F,ɾ,ENG,t_0932696,OTH,stimuli_raw/wav/Mrajesh2.wav,51,Mrajesh2_51,HIN,141.88,141.48882,dʱ,M,Mrajesh,ADHA,0.3259583503780996
